,Total Profit,Net Worth
44,3000.350006103516,13000.350006103516
35,1862.7799072265625,11862.779907226562
22,1452.7399291992188,11516.48992919922
14,1473.750015258789,11473.750015258789
25,1365.5700073242188,11365.57000732422
46,1339.4798889160154,11339.479888916016
38,1286.3498077392578,11286.349807739258
48,1039.6298217773438,11039.629821777344
36,863.2999420166016,10863.299942016602
10,851.8100891113281,10851.810089111328
23,836.0300140380859,10836.030014038086
47,812.800048828125,10812.800048828123
11,755.3099517822266,10755.309951782228
24,748.5799102783203,10748.57991027832
39,653.4699554443358,10653.469955444336
3,633.7300109863281,10633.730010986328
34,612.9500122070312,10612.950012207033
18,588.6799774169923,10588.679977416992
8,581.4100799560548,10581.410079956057
45,576.2000579833983,10576.200057983398
13,525.5500030517578,10545.539993286131
17,471.2300109863281,10471.230010986328
37,469.3699951171875,10469.369995117188
32,462.3100891113281,10462.310089111328
6,393.009994506836,10393.009994506836
1,380.3599853515625,10380.359985351562
2,359.5000762939453,10359.500076293943
16,349.6398620605469,10349.639862060549
26,307.3100891113281,10307.310089111328
5,299.4499816894531,10299.449981689451
12,256.5600128173828,10293.000015258787
19,277.1801605224609,10277.18016052246
15,261.399917602539,10261.39991760254
9,152.12005615234375,10152.120056152344
7,141.0101318359375,10141.010131835938
4,-69.84989929199219,9930.150100708008
