Epoch,Initial Cash,Current Cash,Inventory Worth,Net Worth,Total Profit,Investment,HOLD,BUY,SELL
1,10000,8844.787986755371,4994.919982910156,13839.707969665527,3796.1879501342773,38.397079696655275,163,178,164
2,10000,13774.029447555542,713.5599975585938,14487.589445114136,4492.872770309448,44.875894451141356,167,170,168
3,10000,1457.7228622436523,17482.219940185547,18939.9428024292,5762.432807922363,89.39942802429199,158,198,149
4,10000,1449.3612117767334,14984.759948730469,16434.121160507202,3258.761266708374,64.34121160507202,155,196,154
5,10000,10682.199338912964,19266.11993408203,29948.319272994995,15035.029340744019,199.48319272994993,133,213,159
6,10000,8296.060014724731,16768.659942626953,25064.719957351685,10447.40329170227,150.64719957351684,148,202,155
7,10000,10808.710153579712,11416.9599609375,22225.670114517212,9629.513483047485,122.25670114517212,135,201,169
8,10000,8953.970655441284,1427.1199951171875,10381.090650558472,400.28397941589355,3.8109065055847164,373,68,64
9,10000,11995.611055374146,13557.639953613281,25553.251008987427,13206.017824172974,155.53251008987428,79,232,194
10,10000,6308.950143814087,13557.639953613281,19866.590097427368,7875.720102310181,98.66590097427368,143,200,162
11,10000,9008.15849494934,21050.019927978516,30058.178422927856,16265.895265579224,200.58178422927858,50,257,198
12,10000,18592.488006591797,9989.839965820312,28582.32797241211,18302.877960205078,185.8232797241211,111,211,183
13,10000,107.29122924804688,22833.919921875,22941.211151123047,4184.061325073242,129.41211151123048,253,158,94
14,10000,10022.097332000732,0.0,10022.097332000732,22.097332000732422,0.2209733200073242,417,44,44
15,10000,9998.663330078125,0.0,9998.663330078125,-1.336669921875,-0.01336669921875,497,4,4
16,10000,10028.924007415771,0.0,10028.924007415771,28.924007415771484,0.28924007415771485,493,6,6
17,10000,8073.047958374023,3211.019989013672,11284.067947387695,981.5012664794922,12.840679473876953,426,44,35
18,10000,10249.233339309692,0.0,10249.233339309692,249.23333930969238,2.492333393096924,425,40,40
19,10000,10046.72671508789,0.0,10046.72671508789,46.726715087890625,0.46726715087890625,483,11,11
20,10000,10149.11336517334,0.0,10149.11336517334,149.11336517333984,1.4911336517333984,481,12,12
21,10000,17878.79066467285,0.0,17878.79066467285,7878.790664672852,78.78790664672852,203,151,151
22,10000,156.2926082611084,15698.319946289062,15854.61255455017,-326.21399879455566,58.5461255455017,383,83,39
23,10000,95.39073944091797,34964.439880371094,35059.83061981201,-165.74264907836914,250.5983061981201,367,118,20
24,10000,24030.03126144409,0.0,24030.03126144409,14030.031261444092,140.3003126144409,295,105,105
25,10000,0.8893299102783203,20693.23992919922,20694.129259109497,743.6626453399658,106.94129259109498,283,140,82
26,10000,20.74001693725586,49949.19982910156,49969.93984603882,0.0,399.6993984603882,365,140,0
27,10000,4696.433311462402,6422.039978027344,11118.473289489746,976.0799179077148,11.18473289489746,435,44,26
28,10000,187.25729751586914,23190.699920654297,23377.957218170166,5283.934070587158,133.77957218170167,204,183,118
29,10000,113.16340827941895,24261.039916992188,24374.203325271606,602.1593418121338,143.74203325271606,391,91,23
30,10000,253.6645622253418,37461.89987182617,37715.564434051514,13928.874675750732,277.1556443405151,116,247,142
31,10000,1806.9239463806152,17838.999938964844,19645.92388534546,2836.6739921569824,96.4592388534546,305,125,75
32,10000,10807.347400665283,0.0,10807.347400665283,807.3474006652832,8.073474006652832,343,81,81
33,10000,172.35330200195312,13914.419952392578,14086.773254394531,-1092.3966522216797,40.86773254394531,426,59,20
34,10000,23557.20146560669,8919.499969482422,32476.70143508911,22226.581409454346,224.76701435089112,92,219,194
35,10000,10006.217330932617,0.0,10006.217330932617,6.2173309326171875,0.06217330932617187,501,2,2
36,10000,10005.935333251953,0.0,10005.935333251953,5.935333251953125,0.059353332519531246,503,1,1
37,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
38,10000,11627.506622314453,0.0,11627.506622314453,1627.5066223144531,16.27506622314453,385,60,60
39,10000,10013.486003875732,0.0,10013.486003875732,13.486003875732422,0.13486003875732422,495,5,5
40,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
41,10000,9998.770000457764,0.0,9998.770000457764,-1.2299995422363281,-0.01229999542236328,503,1,1
42,10000,9975.779983520508,0.0,9975.779983520508,-24.220016479492188,-0.24220016479492185,441,32,32
43,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
44,10000,10007.3466796875,0.0,10007.3466796875,7.3466796875,0.07346679687499999,501,2,2
45,10000,10007.864002227783,0.0,10007.864002227783,7.864002227783203,0.07864002227783204,499,3,3
46,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
47,10000,7525.8665771484375,7135.5999755859375,14661.466552734375,2923.179946899414,46.61466552734375,377,74,54
48,10000,5664.19660949707,8562.719970703125,14226.916580200195,2891.5233154296875,42.26916580200195,397,66,42
49,10000,4776.772491455078,12130.519958496094,16907.292449951172,4798.009216308594,69.07292449951173,185,177,143
50,10000,9040.139907836914,3211.019989013672,12251.159896850586,2452.036575317383,22.511598968505858,408,53,44
51,10000,43.53868103027344,30683.07989501953,30726.618576049805,9470.702011108398,207.26618576049805,121,235,149
52,10000,8170.5960693359375,2140.6799926757812,10311.276062011719,339.01275634765625,3.1127606201171876,423,44,38
53,10000,18851.63992500305,0.0,18851.63992500305,8851.639925003052,88.51639925003052,329,88,88
54,10000,10004.874004364014,0.0,10004.874004364014,4.874004364013672,0.04874004364013672,501,2,2
55,10000,9988.621337890625,0.0,9988.621337890625,-11.378662109375,-0.11378662109375001,501,2,2
56,10000,10007.542659759521,0.0,10007.542659759521,7.542659759521484,0.07542659759521485,501,2,2
57,10000,16207.692588806152,0.0,16207.692588806152,6207.692588806152,62.07692588806152,311,97,97
58,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
59,10000,9978.279998779297,0.0,9978.279998779297,-21.720001220703125,-0.21720001220703125,503,1,1
60,10000,9996.41000366211,0.0,9996.41000366211,-3.589996337890625,-0.03589996337890625,503,1,1
61,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
62,10000,13711.798732757568,0.0,13711.798732757568,3711.7987327575684,37.11798732757568,183,161,161
63,10000,10274.696640014648,0.0,10274.696640014648,274.69664001464844,2.7469664001464844,473,16,16
64,10000,10049.401344299316,0.0,10049.401344299316,49.401344299316406,0.494013442993164,465,20,20
65,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
66,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
67,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
68,10000,9998.723337173462,0.0,9998.723337173462,-1.276662826538086,-0.012766628265380858,501,2,2
69,10000,10000.0,0.0,10000.0,0.0,0.0,505,0,0
70,10000,7362.100082397461,4281.3599853515625,11643.460067749023,1670.663345336914,16.434600677490234,443,37,25
71,10000,10710.291332244873,0.0,10710.291332244873,710.291332244873,7.10291332244873,429,38,38
72,10000,10002.57999420166,0.0,10002.57999420166,2.5799942016601562,0.02579994201660156,501,2,2
73,10000,9998.913345336914,0.0,9998.913345336914,-1.0866546630859375,-0.010866546630859375,503,1,1
